,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
2753,2601,3870,682,23,2,988,9035,924,1,0
1087,1977,3,1487,785,8,727,6687,9025,1,1
3509,894,653,1907,1135,785,677,147,8808,1,0
3,942,272,1556,17,9,982,345,233,1,1
4619,1715,4077,528,871,280,703,6528,8815,1,0
4601,827,3216,1482,354,22,26,248,2232,1,0
7934,181,2033,1769,8,738,29,4264,3834,1,1
8285,3174,2929,1663,211,723,1288,5189,5412,1,0
1175,1360,2556,1489,1230,739,254,3422,7612,1,0
5698,549,175,1863,956,732,31,2068,6671,1,1
8107,3316,3157,1443,207,206,28,5831,3043,1,0
2960,1144,2075,1620,357,731,254,1760,2503,1,0
1470,2135,2392,1357,23,740,1002,7547,2788,1,1
6123,1253,1991,1527,20,15,549,2461,7805,1,0
8484,1897,2952,1101,961,936,1731,6665,7984,1,0
5117,3278,2133,1681,15,13,987,5986,290,1,1
1247,1385,2834,994,6,349,5,3819,2091,1,0
3428,1082,1905,1886,774,726,6,1211,2559,1,0
3050,660,2182,1589,27,27,10,1137,1452,1,0
3033,709,2383,1666,15,794,1438,795,6580,1,0
9752,790,3375,1527,1230,453,259,80,7928,1,0
8856,949,415,1617,783,744,17,324,3806,1,0
8892,992,2578,2131,844,145,210,821,6288,1,0
8139,3769,1944,1095,208,1376,1791,7889,9297,1,1
9706,408,2798,1705,360,444,256,2563,3177,1,0
1864,1090,374,1767,261,763,1677,1164,8801,1,0
5062,202,36,1763,22,6,998,4200,2095,1,1
3071,605,2067,1750,26,17,13,1548,1752,1,1
6584,766,1038,1499,771,9,819,1010,9336,1,0
3026,1493,2379,1485,764,729,986,4188,570,1,0
3459,2151,3635,1113,206,22,0,7845,389,1,0
2522,1922,2505,1272,25,731,22,6630,2594,1,1
2697,4439,3314,406,6,346,2,9907,1707,1,1
9075,4505,275,38,650,17,981,10002,3783,1,1
590,1399,2231,2327,31,938,993,3287,2347,1,0
799,1681,50,1436,838,13,233,5186,6292,1,1
6030,2872,1359,589,1224,754,101,9494,4322,1,1
8223,107,2824,1502,213,22,21,4343,1943,1,0
2574,1807,1800,867,366,25,989,5082,2693,1,0
8124,3167,2989,1646,485,933,999,5127,5420,1,0
2513,2031,2453,1378,10,7,26,7112,3681,1,1
9735,600,3103,1534,204,212,1001,1166,2699,1,0
1071,1935,3665,921,1235,59,305,7111,6361,1,0
4161,3744,1550,1724,1461,1151,57,8205,4397,1,0
7614,3315,1449,2064,551,102,1568,6807,8736,1,0
0,3144,1895,0,762,720,981,3265,1194,1,0
543,406,1078,2008,269,1060,1666,3473,8760,1,0
8304,3344,2876,1647,14,746,983,6087,86,1,1
3059,767,2241,1580,26,21,17,471,2253,1,0
5375,1132,2014,1614,206,2,0,1647,572,1,0
7015,106,1247,1729,786,743,270,5251,7171,1,0
4347,3358,2101,1712,25,18,1298,6370,5549,1,1
4947,3790,2255,1174,898,797,1487,7931,6489,1,1
9233,1792,4007,923,29,0,19,6683,2188,1,0
592,96,406,2496,900,1397,1510,5551,7457,1,1
9849,1300,350,1693,29,1,22,2616,2524,1,1
9768,601,224,1707,764,723,429,1707,7733,1,1
2586,1974,1775,920,15,1,989,6019,655,1,0
8151,1236,3660,1626,1384,218,505,3117,7543,1,0
9850,1260,358,1622,17,218,1296,2307,5041,1,1
9236,1770,3954,842,3,724,1294,6571,3621,1,0
6010,2757,1076,759,31,1127,556,9260,7464,1,1
8262,1255,3806,1371,765,212,255,3416,5842,1,0
1954,4002,3417,688,928,675,75,8521,4894,1,1
5114,3195,2127,1748,17,4,8,5587,1494,1,1
9913,2357,2226,1257,365,28,30,8300,2233,1,1
5171,549,324,1651,966,721,25,2058,6110,1,1
6559,3186,2616,1597,2,720,984,5341,658,1,1
8713,3724,348,1773,30,441,1295,7874,5243,1,1
1090,1791,1951,1528,567,10,988,5797,3682,1,1
1516,1468,765,575,701,255,1614,3898,9201,1,0
9839,1310,419,1610,13,13,26,2689,3620,1,1
8207,3560,2507,1641,786,14,39,7148,3998,1,1
4016,3930,2496,1731,366,1387,1304,8391,7740,1,1
7299,1185,3776,1810,340,431,1315,2838,6503,1,0
9517,3969,453,1070,749,784,1420,8586,9014,1,1
8716,3858,300,1674,780,205,2,8272,2708,1,1
5632,556,226,1708,21,734,1298,1998,5596,1,1
7047,3470,2069,1861,766,14,1079,6904,3946,1,1
6630,1258,644,1712,26,750,997,2137,2466,1,0
6464,1039,21,1486,131,450,230,1051,4290,1,0
3979,3706,2939,1582,202,1,994,7596,2145,1,1
9271,2026,4094,405,924,785,1432,7733,5894,1,0
1217,1049,163,2143,10,756,1419,878,6897,1,0
2564,1887,1846,822,360,939,1293,5398,6732,1,0
