temp,pressure,proximity,r,g,b,a,accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left,side
29.510,100.428,249,44,30,31,88,0.2642,0.2260,0.8768,-91.6748,7.6294,19.5923,0,1,0,0,0
29.510,100.426,253,52,43,51,120,0.1334,0.5151,0.6361,16.3574,33.5083,96.3135,0,0,0,1,0
29.510,100.373,252,49,35,43,107,0.0010,0.7388,0.7112,-11.1084,-27.7100,123.5962,0,0,0,1,0
29.490,100.425,252,54,44,59,142,-0.0165,0.5935,0.7187,-80.9937,-21.7896,-58.6548,0,0,0,1,0
29.500,100.424,252,81,73,94,241,-0.0332,0.6270,0.6992,6.7139,-39.9780,34.4849,0,0,0,1,0
29.510,100.429,252,97,86,107,288,-0.2163,0.8010,0.6899,-4.6997,7.8735,2.1362,0,0,0,1,0
29.510,100.428,251,93,82,103,280,-0.1151,0.6921,0.6193,6.2256,4.5776,7.0801,0,0,0,1,0
29.500,100.426,252,90,79,101,272,-0.1307,0.7159,0.6539,2.3804,-4.9438,1.8921,0,0,0,1,0
29.490,100.424,252,90,80,102,271,-0.1492,0.6829,0.6783,6.6528,0.6714,2.8076,0,0,0,1,0
29.500,100.303,250,88,78,100,264,-0.1433,0.6810,0.6843,4.5166,1.4648,0.6104,0,0,0,1,0
29.500,100.426,251,85,76,99,257,-0.1456,0.6658,0.7026,4.5776,-5.3101,2.0142,0,0,0,1,0
29.500,100.425,250,86,77,99,259,-0.1581,0.6729,0.6978,5.1270,2.0752,4.4556,0,0,0,1,0
29.500,100.430,251,82,73,96,247,-0.1489,0.6521,0.7017,5.6763,-2.3804,3.7842,0,0,0,1,0
29.510,100.428,251,82,73,96,246,-0.1390,0.6394,0.6954,1.5259,4.8218,0.0000,0,0,0,1,0
29.510,100.430,252,80,71,94,239,-0.1720,0.6680,0.7178,-3.1128,-4.3335,3.9062,0,0,0,1,0
29.510,100.367,253,79,71,94,239,-0.1547,0.6292,0.7018,4.4556,0.5493,-0.6714,0,0,0,1,0
29.500,100.419,252,79,71,93,236,-0.1647,0.6283,0.7183,1.4038,0.3662,-2.3804,0,0,0,1,0
29.510,100.424,253,79,71,94,237,-0.1697,0.6344,0.7369,-2.5024,-3.9062,0.0610,0,0,0,1,0
29.510,100.433,251,79,71,94,236,-0.1818,0.6354,0.7141,3.7842,1.3428,3.7842,0,0,0,1,0
29.510,100.422,252,76,68,91,228,-0.1749,0.6216,0.7616,-4.6387,-1.7090,8.4229,0,0,0,1,0
29.510,100.424,252,75,68,90,227,-0.1873,0.6039,0.7235,1.7090,0.6714,4.7607,0,0,0,1,0
29.510,100.427,251,74,68,89,224,-0.1825,0.6025,0.7415,-2.9297,-1.4038,-0.4272,0,0,0,1,0
