accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left
-0.3818,-0.1094,0.9918,-14.8315,-8.0566,-2.5024,1,0,0,0
-0.2772,-0.0392,0.9159,-11.2305,-0.7935,-3.1128,1,0,0,0
-0.1815,-0.0652,0.9523,-3.0518,3.4180,-3.4790,1,0,0,0
-0.1920,-0.1346,1.0055,-2.0142,1.0986,-2.5024,0,0,1,0
-0.2644,-0.0278,0.9558,-18.0664,2.0142,10.4370,1,0,0,0
-0.2280,0.0168,1.0732,-22.8271,14.2212,-3.0518,1,0,0,0
-0.2091,0.2152,0.8065,-33.9966,24.1089,14.7705,0,0,0,1
-0.2001,0.1296,1.0350,7.7515,5.7373,-31.5552,0,0,0,1
-0.1495,0.0874,1.0530,19.4092,-4.6387,-44.1895,0,0,0,1
-0.1709,0.0071,0.8832,24.9634,51.8188,-9.0332,1,0,0,0
-0.1614,-0.0446,0.9338,32.2876,36.8652,-39.4897,1,0,0,0
-0.0828,-0.1505,0.9343,48.3398,27.0386,-40.7104,0,0,1,0
0.0553,-0.3566,0.9872,36.1938,49.0112,-22.0947,0,0,1,0
0.1357,-0.4232,0.9077,24.1089,20.6299,-23.1323,0,0,1,0
0.1508,-0.5005,0.9628,15.1367,7.9346,-11.7798,0,0,1,0
0.1667,-0.3776,0.9730,-0.4272,-9.6436,0.1831,0,0,1,0
0.0569,-0.3218,0.9869,-13.0005,-21.8506,3.9062,0,0,1,0
0.0179,-0.3246,0.9508,-11.2305,-21.1182,1.6479,0,0,1,0
0.0223,-0.3615,0.9951,-16.5405,-32.1655,-3.1738,0,0,1,0
-0.2527,-0.2124,0.8981,-7.5073,-6.6528,-0.5493,0,0,1,0
-0.0881,-0.2360,0.9482,-5.6763,3.0518,-10.6201,0,0,1,0
0.0092,-0.1388,0.7941,4.7607,14.8926,1.2207,0,1,0,0
0.0283,-0.1915,0.9683,-2.8076,-11.2915,11.2305,0,0,1,0
-0.0674,-0.1584,0.9774,-18.3105,-33.2031,21.4844,0,0,1,0
-0.1693,-0.1066,1.0503,-38.0859,-50.0488,7.9346,0,0,1,0
-0.1543,-0.0676,1.1002,-51.1475,-26.8555,21.5454,0,0,1,0
-0.2533,0.1698,0.9404,-20.3857,-6.3477,21.5454,0,0,0,1
-0.2137,-0.0026,0.9463,-0.6714,5.7983,-10.7422,1,0,0,0
-0.2103,0.0228,0.8181,-11.4746,1.3428,7.4463,1,0,0,0
-0.1475,-0.0857,1.0345,16.9067,6.0425,-8.9722,0,0,1,0
-0.2098,-0.0432,0.9360,1.9531,6.6528,5.6763,1,0,0,0
-0.1315,-0.1208,1.0066,3.1128,5.9204,-1.0986,0,0,1,0
-0.1051,-0.1335,0.9535,2.6245,19.8975,3.2349,0,0,1,0
-0.0751,-0.3435,1.0239,21.9727,31.0669,3.9673,0,0,1,0
-0.0247,-0.3944,1.0438,8.4229,10.4980,19.6533,0,0,1,0
-0.0715,-0.2998,0.9531,-19.3481,-15.4419,43.7622,0,0,1,0
-0.0353,-0.2894,1.0109,-25.2686,-6.5308,70.1904,0,0,1,0
-0.1478,-0.1648,0.8947,-53.8940,-10.8032,92.8345,0,0,1,0
