,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
2260,250,556,2223,264,869,1700,4252,9437,0,1
6243,1249,30,1541,14,17,989,2382,451,0,1
8424,4168,1237,1235,26,750,1291,9176,5338,0,1
8362,1996,1991,1381,204,0,23,6839,2390,0,1
9998,1323,1322,1371,779,207,259,2326,6823,0,0
2301,492,2805,1772,202,955,1553,2003,7596,0,0
3533,3192,446,1352,1235,385,376,5681,6630,0,1
1623,3161,2070,2318,1444,1290,1472,5617,7375,0,1
3352,3037,2416,249,775,741,987,9814,901,0,1
4453,1296,2716,1535,776,3,28,3088,5634,0,0
6726,783,2107,1653,360,17,1002,438,3722,0,0
108,757,735,1844,783,9,7,1002,3135,0,0
3886,3627,3002,1391,482,742,1534,7256,8386,0,1
1795,2307,2631,1317,362,209,1290,8187,5783,0,1
713,2280,3887,949,317,528,1703,8363,9108,0,0
7448,1404,1168,1922,365,9,989,2862,2766,0,0
6242,1233,261,1865,771,736,1002,2085,1193,0,1
4229,136,314,2174,367,355,1005,4802,5046,0,1
5964,260,676,1525,356,1386,224,3999,4701,0,1
3312,3085,2038,283,356,6,262,9867,3469,0,1
1886,1408,2353,1507,12,31,423,3667,7130,0,0
9980,1095,1328,1520,964,519,254,808,7109,0,0
9987,1577,1291,1329,17,750,19,4027,2474,0,0
8395,415,2344,1543,216,1058,1008,2652,5381,0,1
4352,3960,523,1331,15,312,1639,8588,6744,0,1
9408,113,3094,664,1034,1416,874,3951,9721,0,0
2286,4400,3762,585,780,723,1,9737,2281,0,1
5300,1061,1926,1535,357,17,1002,1176,3634,0,0
7254,3441,2208,1821,1107,1350,269,6747,7247,0,1
4397,1066,404,1712,7,31,22,1027,3597,0,0
360,1035,109,2230,798,39,218,744,6236,0,0
4817,888,3247,1604,2,931,545,573,7791,0,0
3526,3169,757,1768,22,732,984,5748,493,0,1
3100,797,1965,1808,13,5,6,427,1456,0,1
7986,3281,2666,1871,1229,19,883,5887,3913,0,1
6961,551,2232,1513,216,735,1424,1774,7187,0,1
5614,619,195,1610,6,730,984,1538,360,0,1
3918,3651,2775,1708,776,926,31,7447,5656,0,1
9222,1784,3989,896,209,1,991,6634,2125,0,0
7531,2393,2512,1465,781,720,34,8411,3950,0,1
8584,4041,2954,1295,26,26,1298,8732,5533,0,1
6712,3446,314,1512,828,445,480,6858,7542,0,1
500,46,3476,1190,271,365,1728,4350,4268,0,0
6818,1998,2150,1792,1030,826,778,6819,9190,0,1
4793,595,995,909,202,63,256,1837,5664,0,0
2138,284,3382,841,956,14,151,2870,4592,0,0
6209,1395,85,1624,568,218,1303,3383,7617,0,1
8577,4157,2186,900,21,531,1860,9059,9254,0,1
9981,1246,1533,1497,762,940,1427,1568,6643,0,0
7243,3260,2641,1482,959,927,1116,5712,3930,0,1
8467,1420,844,1518,360,730,259,3280,2888,0,0
8621,3919,2244,253,1263,84,1169,8219,4063,0,1
4786,211,452,1317,885,16,222,4165,6312,0,1
3902,3711,3034,1454,781,208,2,7579,2765,0,1
8559,4054,2627,1577,29,211,997,8794,2027,0,1
4565,694,2599,2170,1107,933,37,972,4098,0,0
9061,4294,2486,1089,485,1361,128,9395,8884,0,1
5271,250,2388,1685,205,17,993,3717,2028,0,1
5431,1517,1949,1593,203,930,995,4157,2604,0,1
2189,1339,3710,1256,1120,31,654,3893,9277,0,0
1597,1752,2238,1501,211,730,1003,5676,3529,0,1
5821,1168,1275,2406,8,728,732,905,8892,0,0
8686,3782,74,1659,209,218,259,8029,3846,0,1
6838,860,291,1436,354,1238,1424,108,7686,0,1
8337,2638,2554,1338,358,278,1909,9004,9314,0,1
7793,406,144,1673,961,449,1647,2965,7228,0,1
333,1397,2297,1648,791,1066,1006,3538,1091,0,0
6789,1214,2176,1529,29,216,992,2263,1402,0,0
7744,161,1907,1958,484,206,1535,4470,8336,0,1
7784,285,122,1758,773,524,13,3719,3814,0,1
263,2180,2937,1164,207,1068,1423,7799,7139,0,1
7453,3814,1166,573,443,267,1406,8180,7571,0,1
1880,1247,2022,1870,1181,645,830,2327,9535,0,0
8626,3353,3537,2245,418,309,1625,6052,8751,0,0
4429,1252,179,1488,16,597,729,2359,8927,0,1
3894,3738,2975,1438,30,743,12,7669,1047,0,1
5266,220,2436,1647,27,9,17,3853,2120,0,1
9182,1682,4045,890,19,28,1003,6217,2327,0,0
7435,645,20,1496,357,742,984,1296,2119,0,1
3131,886,1991,1741,1109,742,260,101,7235,0,0
367,332,399,2002,18,207,1793,3612,8916,0,1
7107,321,2983,1530,28,741,23,3018,2495,0,0
952,1683,2276,1748,1479,1152,1468,5243,6495,0,1
9531,4029,224,1649,362,442,11,8788,384,0,1
1650,2438,3592,554,991,40,108,8688,6191,0,0
5723,480,290,1755,29,209,263,2569,5478,0,1
8021,3154,2613,1910,11,5,1297,5233,5157,0,1
9431,3661,978,942,833,1185,444,7696,7362,0,1
3316,3035,2169,270,765,730,31,9804,5463,0,1
7960,3609,813,1715,159,1347,1876,7577,9707,0,1
2110,1805,1710,1492,227,729,1268,5056,6400,0,0
2303,14,3457,2020,1312,273,1400,4788,6264,0,0
101,764,527,1423,774,2,998,740,356,0,0
7975,3995,1054,2425,877,841,966,8806,9955,0,1
1737,1665,251,1554,279,1298,1626,4997,8705,0,1
303,1308,2973,1590,765,1059,1725,3260,8399,0,0
76,486,654,1821,982,111,371,2695,7453,0,1
1923,903,1614,1624,449,747,1787,569,9506,0,0
2470,1624,277,1635,1414,743,84,4702,4495,0,1
2107,1764,1745,522,1431,893,749,5020,9731,0,0
6877,473,275,1458,365,730,263,2509,3091,0,1
4448,1239,2501,1616,356,348,1010,2555,5125,0,0
9640,1636,209,1551,26,10,5,4828,671,0,1
3307,2918,2517,161,1192,685,255,9646,4810,0,1
9988,965,1367,1234,1226,2,255,67,7644,0,0
9538,4260,331,701,843,632,18,9343,9035,0,1
346,2496,4098,689,891,936,34,8856,4693,0,0
1662,1533,651,1089,630,416,1543,4135,8719,0,1
1578,1750,2351,1580,7,0,989,5685,254,0,1
4428,1122,263,1426,688,631,421,1482,3090,0,0
290,3591,3119,162,42,397,1644,6759,8949,0,1
3279,4334,3930,670,18,89,125,9458,4421,0,1
3853,390,3063,1632,1243,245,55,2547,4217,0,0
9391,332,3175,1588,30,8,981,2889,347,0,0
2453,2252,3330,1103,488,17,1003,8151,5487,0,0
7472,3154,96,1542,204,12,414,5395,5765,0,1
7358,621,1938,1523,207,720,6,1432,136,0,1
135,3559,1739,1757,1185,1223,300,7736,7361,0,0
6264,1327,80,1642,762,1,14,2908,2944,0,1
8383,1689,2474,761,368,741,1304,5604,7197,0,0
1937,1374,1947,1672,788,10,424,3277,7872,0,1
6956,71,2044,1819,203,216,1007,4938,3212,0,1
4395,890,502,1706,28,1,6,61,607,0,0
4974,58,3636,1358,31,7,1000,4214,2719,0,0
1877,2267,3802,500,1194,680,862,8359,9768,0,0
7131,3364,173,1890,565,36,1794,6546,9298,0,1
7965,1715,3884,1083,151,1344,1661,6238,8677,0,0
330,1464,2188,1729,695,30,1540,3886,9010,0,0
4224,40,270,1772,28,204,263,5230,5481,0,1
3570,398,827,927,1008,813,1888,3068,9503,0,0
9559,2110,2044,1653,77,586,554,7332,2158,0,1
6373,198,2160,804,74,85,177,3849,4164,0,1
8048,3197,2962,1541,9,730,1293,5272,3757,0,0
1780,1772,1825,1852,582,1232,1482,4517,8597,0,0
965,2742,775,1199,356,742,1433,9221,7813,0,1
6160,48,317,1440,486,731,24,5129,472,0,1
4238,4374,3633,47,975,1250,1219,9587,3929,0,1
2127,1616,2419,1646,364,218,544,4942,6935,0,0
8022,93,2631,1649,356,744,1734,4542,9065,0,1
6181,1101,243,1769,206,10,4,1279,11,0,0
7444,741,27,1851,8,205,1294,847,3569,0,1
9356,878,1223,1341,774,823,1754,369,8783,0,0
7664,3482,2063,1553,1473,637,43,6899,4580,0,1
9047,3354,557,1543,1351,967,925,6526,4035,0,1
7496,1418,2593,384,287,143,1145,4177,4392,0,0
7861,3231,106,1753,484,733,0,5875,2450,0,1
704,1255,476,2268,1424,1346,1299,1975,1003,0,0
5936,1083,610,1714,17,746,1294,1064,5284,0,0
4414,1712,2927,1869,63,707,461,5594,6514,0,0
8097,3402,3093,1317,362,219,23,6228,1718,0,0
144,3214,983,425,1233,850,1001,5722,410,0,1
6942,3453,2431,1633,44,65,551,6693,3511,0,1
5023,842,1460,1445,273,523,213,774,9586,0,0
9320,693,1059,1629,27,208,1427,1456,6902,0,0
9533,4018,131,1682,369,31,985,8755,2319,0,1
4216,46,123,1775,366,21,20,5158,880,0,1
6443,87,101,1758,780,744,28,4914,5608,0,1
4960,48,3640,1404,790,12,817,4277,9394,0,0
7964,1242,3538,1093,171,760,1809,3220,9434,0,0
8554,4147,2993,1728,11,1161,1646,9023,8461,0,1
7207,4210,2263,1304,20,735,417,9217,6123,0,1
5278,299,2465,1433,778,29,257,3335,6683,0,1
3689,194,3266,1562,26,724,16,3697,1925,0,0
7188,963,268,2281,770,1232,398,237,6504,0,1
9434,4111,1567,956,83,1405,303,9073,4721,0,1
9421,575,120,1809,1416,5,256,1875,8374,0,1
7485,3359,265,1709,485,723,1432,6512,7952,0,1
349,2064,3590,1206,981,1061,797,7534,9414,0,0
9380,338,3108,1616,776,722,426,2874,7777,0,0
3272,4324,3951,401,158,1270,1620,9412,8704,0,1
1732,1714,2016,1545,641,438,21,5385,600,0,1
457,1338,618,1444,483,585,1010,2837,5426,0,0
4407,883,344,1517,20,10,16,3,2312,0,1
8598,4076,2906,1908,29,104,1723,8863,7985,0,1
5466,3369,269,1507,23,1161,994,6515,2353,0,1
3207,3811,798,1839,643,3,1863,8222,9870,0,1
